epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,93.2307,1.22967,2.4466,1.30292,0.58375,0.49978,0.52727,0.34038,1.147,1.56268,1.22498,0.00994048,0.00331349,0.00994048,0.00331349,0.00994048,0.00331349,0.00994048,0.00331349
2,155.089,1.31669,1.74925,1.3414,0.57394,0.48123,0.50592,0.2945,1.34408,1.87833,1.37911,0.0198747,0.00662489,0.0198747,0.00662489,0.0198747,0.00662489,0.0198747,0.00662489
3,212.096,1.47234,1.86888,1.47777,0.31529,0.37854,0.24207,0.11032,1.66669,5.05274,1.82766,0.0297429,0.00991429,0.0297429,0.00991429,0.0297429,0.00991429,0.0297429,0.00991429
4,267.237,1.53789,1.8811,1.53057,0.33312,0.34195,0.28931,0.13732,1.58823,3.45393,1.6959,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
5,322.103,1.49469,1.73445,1.50571,0.48887,0.44575,0.43752,0.2265,1.62481,2.17934,1.6638,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868
6,377.053,1.47651,1.63493,1.49212,0.52553,0.43233,0.43994,0.22498,1.50837,2.14875,1.58672,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835
7,431.828,1.42436,1.54614,1.45904,0.62687,0.54391,0.57064,0.34323,1.36294,1.63061,1.40985,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
8,486.376,1.38415,1.47457,1.43539,0.4666,0.48232,0.47876,0.25001,1.5579,1.65327,1.55961,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769
9,541.204,1.33646,1.3951,1.39923,0.66576,0.62019,0.66761,0.42331,1.20352,1.20628,1.28956,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
10,595.795,1.31863,1.34854,1.40192,0.53485,0.57706,0.58031,0.35503,1.28132,1.29187,1.36743,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
